id,image_url,street_number,street_name,street_type,apt_number,city,state,zipcode,price,bedrooms,lat,long,walkscore,built,listing_url,neighborhood
563,http://photos3.zillowstatic.com/p_f/ISxf2kj3eca1000000000.jpg,239,8th,St,APT 11,San Francisco,CA,94103,6000,1,37.775975,-122.410772,,2003,http://www.zillow.com/homedetails/239-8th-St-APT-11-San-Francisco-CA-94103/80747938_zpid/,South of Market
564,http://photos1.zillowstatic.com/p_f/ISxfmbzh9zbhbi1000000000.jpg,3232,Gough,St,APT 3,San Francisco,CA,94123,2800,Studio,37.80325,-122.428,,3000,http://www.zillow.com/homedetails/3232-Gough-St-APT-3-San-Francisco-CA-94123/2104420516_zpid/,Marina
398,"http://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/37.787330,-122.438570/17?mapSize=150112,&key=AmdvKO2hNoyLePakiVzRBZiGPKCxV6MtwWneohoPfmXclTaRTzvT6_Ict5-PBHO6",2619,Divisadero,St,,San Francisco,CA,94123,10495,5,37.793985,-122.441969,,1900,http://www.zillow.com/homedetails/2619-Divisadero-St-San-Francisco-CA-94123/15080809_zpid/,Pacific Heights
11,http://photos1.zillowstatic.com/p_f/ISdk8ogbu39oxl0000000000.jpg,1425,Vallejo,St,,San Francisco,CA,94109,5200,2,37.79673,-122.4208,,1982,http://www.zillow.com/homedetails/1425-Vallejo-St-San-Francisco-CA-94109/2100784759_zpid/,Russian Hill
13,http://photos2.zillowstatic.com/p_f/ISd0p7f1rd70r90000000000.jpg,560,Scott,St,APT 103,San Francisco,CA,94117,2400,Studio,37.77482,-122.436,,3000,http://www.zillow.com/homedetails/560-Scott-St-APT-103-San-Francisco-CA-94117/2126976241_zpid/,Alamo Square
15,http://photos3.zillowstatic.com/p_f/IShjmpbl6y5mpu1000000000.jpg,954,Rhode Island,St,,San Francisco,CA,94107,3850,1,37.757711,-122.402205,,1904,http://www.zillow.com/homedetails/954-Rhode-Island-St-San-Francisco-CA-94107/15150391_zpid/,Potrero Hill
18,http://photos1.zillowstatic.com/p_f/ISlepvvf9te9h50000000000.jpg,75,Magellan,Ave,,San Francisco,CA,94116,9500,4,37.749224,-122.460491,,1924,http://www.zillow.com/homedetails/75-Magellan-Ave-San-Francisco-CA-94116/15132595_zpid/,Forest Hill
19,"http://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/37.781386,-122.421406/17?mapSize=150112,&key=AmdvKO2hNoyLePakiVzRBZiGPKCxV6MtwWneohoPfmXclTaRTzvT6_Ict5-PBHO6",3055,Market,St,,San Francisco,CA,94114,4800,2,37.760856,-122.442222,,1960,http://www.zillow.com/homedetails/3055-Market-St-San-Francisco-CA-94114/15128553_zpid/,Eureka Valley - Dolores Heights - Castro
23,http://photos3.zillowstatic.com/p_f/IS5qbowjme1lco1000000000.jpg,46,Service,St,,San Francisco,CA,94123,6000,2,37.79911,-122.4385,,3000,http://www.zillow.com/homedetails/46-Service-St-San-Francisco-CA-94123/2100602941_zpid/,Cow Hollow
568,http://photos3.zillowstatic.com/p_f/IS5mojen3rs1gw1000000000.jpg,3700,Divisadero,St,APT 302,San Francisco,CA,94123,5500,2,37.803904,-122.443336,,1993,http://www.zillow.com/homedetails/3700-Divisadero-St-APT-302-San-Francisco-CA-94123/15079635_zpid/,Marina
