image_url,street_number,street_name,street_type,apt_number,city,state,zipcode,price,bedrooms
http://photos2.zillowstatic.com/p_g/IStcpcqq3jcuzj0000000000.jpg,810,Hyde,Street,# FL 6TH,San Francisco,CA,94109,2195,Studio
http://photos3.zillowstatic.com/p_g/ISts1ld1rgipb20000000000.jpg,2020,9th,Ave,,San Francisco,CA,94116,6790,3
http://photos3.zillowstatic.com/p_g/ISto27s2lty5hk0000000000.jpg,3040,25th,Ave,,San Francisco,CA,94132,4800,3
http://photos1.zillowstatic.com/p_g/ISd0l8lruigl1r0000000000.jpg,1086,Post,St,,San Francisco,CA,94109,2150,Studio
http://photos3.zillowstatic.com/p_g/IShb0v69irsnjb1000000000.jpg,592,39th,Ave,,San Francisco,CA,94121,2800,2
http://photos2.zillowstatic.com/p_g/IS5msm384mkj8f1000000000.jpg,2934,2,Ave,,San Francisco,CA,94132,3950,2
http://photos3.zillowstatic.com/p_g/ISl6rbfgj346701000000000.jpg,680,Capp,St,,San Francisco,CA,94110,3895,2
http://photos3.zillowstatic.com/p_g/ISxbnhhvapb6000000000000.jpg,1915,Bush,St,APT 7,San Francisco,CA,94115,3000,1
http://photos3.zillowstatic.com/p_g/IStgc9and0cvks0000000000.jpg,333,,St,UNIT N802,San Francisco,CA,94105,3795,1
http://photos2.zillowstatic.com/p_g/ISto6ivffw74c80000000000.jpg,564,Liberty,St,,San Francisco,CA,94114,10500,4
http://photos3.zillowstatic.com/p_g/IS5y9s4azloof41000000000.jpg,1960,Hayes,St,,San Francisco,CA,94117,4200,1
http://photos3.zillowstatic.com/p_g/IS956d95cos7741000000000.jpg,666,Post,St,APT 704,San Francisco,CA,94109,3950,1
http://photos2.zillowstatic.com/p_g/ISdw52f1q1pzy61000000000.jpg,2,Tamalpais,Ter,,San Francisco,CA,94118,1795,Studio
http://photos1.zillowstatic.com/p_g/ISd8zgnkiiy6tq1000000000.jpg,474,27th,Ave,APT 1,San Francisco,CA,94121,2595,1
http://photos2.zillowstatic.com/p_g/ISt4b4gr1qm58p0000000000.jpg,425,Oak Park,Dr,,San Francisco,CA,94131,4695,3
http://photos3.zillowstatic.com/p_g/IShfvp2ovatppx0000000000.jpg,876A,Lombard,St,,San Francisco,CA,94133,4500,2
http://photos2.zillowstatic.com/p_g/IStcdfwbmaye7d0000000000.jpg,1926,Lake,St,,San Francisco,CA,94121,9495,6
"http://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/37.725090,-122.437950/17?mapSize=150112,&key=AmdvKO2hNoyLePakiVzRBZiGPKCxV6MtwWneohoPfmXclTaRTzvT6_Ict5-PBHO6",88,Townsend,St,,San Francisco,CA,94107,7000,1
http://photos1.zillowstatic.com/p_g/IS17mo31r1awwl1000000000.jpg,303,Garces,Dr,,San Francisco,CA,94132,2820,1
http://photos1.zillowstatic.com/p_g/IS1n6z5bwfu5dk0000000000.jpg,400,Page,St,,San Francisco,CA,94102,2995,Studio
http://photos2.zillowstatic.com/p_g/ISpp4qbeoyow2m0000000000.jpg,848,N Point,St,,San Francisco,CA,94109,5400,2
http://photos3.zillowstatic.com/p_g/IShjefuyibmogr0000000000.jpg,209,Ashbury,St,,San Francisco,CA,94117,6000,2
http://photos3.zillowstatic.com/p_g/ISx3t8ok1bia4h1000000000.jpg,1850,Clay,St,,San Francisco,CA,94109,3795,1
